מזהה_בקשה,מחוז,אזור,סוג_מבנה,שטח_מבוקש_מ2,שטח_חקלאי_דונם,מספר_בעלי_חיים,מרחק_מכביש_מטר,מרחק_ממגורים_מטר,גובה_מבנה_מטר,פנלים_סולאריים,ייעוד_חקלאי,עמידה_בתמא,מכתב_המלצה,סטטוס_אישור,סיבת_ההחלטה
AG-2024-0537,מחוז צפון,עמקים,אורווה,326,183,24,135.6,738.1,9.1,לא,כן,כן,כן,מאושר,""
AG-2024-0538,מחוז צפון,גולן,יקב,44,162,0,161.4,446.8,4.6,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0539,מחוז תל אביב,ערבה,אורווה,366,39,10,134.8,954.5,11.3,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0540,מחוז חיפה,שרון,חממה,1647,65,0,28.4,732.8,2.8,לא,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0541,מחוז חיפה,שרון,חממת קנאביס רפואי,1112,29,0,93.7,32.2,3.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0542,מחוז ירושלים,שרון,מכון רדייה,551,162,0,86.2,836.8,10.3,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0543,מחוז חיפה,בקעת הירדן,לול,239,8,45045,170.7,314.3,2.2,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0544,מחוז מרכז,נגב,בית בד,664,171,0,155.3,116.5,1.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0545,מחוז חיפה,גולן,בית אריזה תות שדה,614,87,0,99,928.7,4.7,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0546,מחוז דרום,עמקים,חממה,2055,16,0,176.4,940.7,6.6,לא,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0547,מחוז חיפה,גליל,רפת,648,186,185,11.4,255,10.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0548,מחוז צפון,שרון,בית אריזה תות שדה,455,176,0,110.1,964.9,2.2,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0549,מחוז מרכז,גליל,חממה,1975,163,0,148.6,450.7,2.1,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0550,מחוז חיפה,שפלה,מחסן קירור,192,167,0,55.8,485.3,11.2,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0551,מחוז חיפה,ערבה,יקב,536,187,0,165.6,45.6,3.4,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0552,מחוז צפון,שפלה,חממת קנאביס רפואי,1627,158,0,142.7,322.5,9.7,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0553,מחוז דרום,עמקים,סככת ציוד,311,16,0,147.9,767.5,7.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0554,מחוז מרכז,נגב,מכון רדייה,127,102,0,109.9,679.2,11,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0555,מחוז חיפה,גולן,לול,252,85,22204,195.4,897.5,9,כן,כן,כן,לא,מאושר,""
AG-2024-0556,מחוז תל אביב,חוף הכרמל,מחסן קירור,197,59,0,70.1,900.6,5.8,לא,כן,כן,כן,מאושר,""
AG-2024-0557,מחוז צפון,חוף הכרמל,בית בד,748,50,0,111.3,355,11.4,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0558,מחוז דרום,נגב,רפת,255,162,184,94.4,820.7,10.3,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0559,מחוז ירושלים,שפלה,חממת קנאביס רפואי,889,53,0,101.5,442,2,כן,כן,כן,לא,מאושר,""
AG-2024-0560,מחוז ירושלים,חוף הכרמל,חממת קנאביס רפואי,1278,71,0,177.3,173.9,3,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0561,מחוז חיפה,שרון,בית אריזה,326,160,0,88.3,294.8,8.9,כן,כן,כן,כן,מאושר,""
AG-2024-0562,מחוז תל אביב,גולן,יקב,213,66,0,89.3,250.2,3.9,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0563,מחוז מרכז,נגב,בית אריזה תות שדה,712,131,0,115.6,519.5,8.9,לא,כן,כן,כן,מאושר,""
AG-2024-0564,מחוז ירושלים,ערבה,סככת ציוד,799,137,0,137.5,595.5,4.4,לא,כן,כן,לא,מאושר,""
AG-2024-0565,מחוז דרום,חוף הכרמל,מחסן חקלאי,559,182,0,93.6,75.3,3.6,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0566,מחוז דרום,ערבה,בית אריזה,693,154,0,107.4,516.4,8.6,לא,כן,כן,לא,מאושר,""
AG-2024-0567,מחוז חיפה,ערבה,יקב,253,149,0,35.4,131.5,7.3,לא,כן,כן,כן,מאושר,""
AG-2024-0568,מחוז צפון,ערבה,חממת קנאביס רפואי,216,47,0,189.7,162.4,8.1,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0569,מחוז מרכז,חוף הכרמל,בית בד,674,11,0,169.6,228.7,5.8,לא,כן,כן,כן,מאושר,""
AG-2024-0570,מחוז דרום,שרון,סככת ציוד,380,144,0,61.5,987.9,7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0571,מחוז תל אביב,שרון,אורווה,459,128,15,165.9,24.4,11.2,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0572,מחוז צפון,גולן,בית אריזה,82,66,0,55.8,351.6,6.2,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0573,מחוז מרכז,עמקים,אורווה,61,154,10,5.6,716.9,3.2,לא,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0574,מחוז מרכז,שפלה,בית אריזה תות שדה,152,29,0,70.1,409.1,6,לא,כן,כן,לא,מאושר,""
AG-2024-0575,מחוז ירושלים,גליל,סככת ציוד,636,154,0,111.8,300.8,1.7,לא,כן,כן,כן,מאושר,""
AG-2024-0576,מחוז ירושלים,בקעת הירדן,סככת ציוד,609,183,0,113.2,538.4,3.5,לא,כן,כן,לא,מאושר,""
AG-2024-0577,מחוז תל אביב,שפלה,בית בד,247,135,0,117.3,454.6,9.9,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0578,מחוז מרכז,בקעת הירדן,אורווה,221,6,8,196.3,757.9,3,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0579,מחוז מרכז,גולן,אורווה,299,166,29,104.2,881.3,8.1,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0580,מחוז תל אביב,גליל,בריכת דגים,344,77,0,81.5,132.3,6.7,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0581,מחוז תל אביב,חוף הכרמל,מחסן קירור,613,90,0,144,470.3,6.8,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0582,מחוז דרום,ערבה,חממה,732,62,0,158.3,51.5,10.9,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0583,מחוז תל אביב,גולן,בית אריזה,113,99,0,34.9,23.1,10.5,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0584,מחוז דרום,שפלה,יקב,785,42,0,53.1,632.5,10.9,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0585,מחוז חיפה,חוף הכרמל,מכון רדייה,861,138,0,49.9,302.1,4.8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0586,מחוז מרכז,בקעת הירדן,מחסן קירור,632,169,0,196,753.4,8.5,כן,כן,כן,לא,מאושר,""
AG-2024-0587,מחוז דרום,חוף הכרמל,בית אריזה תות שדה,795,196,0,91.7,798.5,5.8,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0588,מחוז צפון,שרון,בית אריזה תות שדה,38,11,0,19.3,736.2,11.1,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0589,מחוז צפון,חוף הכרמל,בית בד,726,39,0,133.5,646,9.4,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0590,מחוז מרכז,שרון,לול,200,196,92437,117.2,75.8,1.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי; לול - מרחק ממגורים פחות מ-100מ"
AG-2024-0591,מחוז צפון,גולן,בריכת דגים,468,196,0,147.5,972.8,7.8,לא,כן,כן,כן,מאושר,""
AG-2024-0592,מחוז תל אביב,נגב,בית אריזה פרחים,167,57,0,197.2,479.3,6.8,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0593,מחוז חיפה,בקעת הירדן,בריכת דגים,145,71,0,198.7,676.7,9.9,לא,כן,כן,לא,מאושר,""
AG-2024-0594,מחוז תל אביב,חוף הכרמל,מכון רדייה,927,141,0,60.2,322.2,3,כן,כן,כן,כן,מאושר,""
AG-2024-0595,מחוז תל אביב,חוף הכרמל,בית בד,389,36,0,186.4,627.5,11.1,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0596,מחוז מרכז,ערבה,בית אריזה פרחים,406,192,0,76.1,587.4,4.4,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0597,מחוז תל אביב,גולן,לול,422,187,55000,124.9,61,7.4,לא,כן,כן,כן,נדחה,"לול - מרחק ממגורים פחות מ-100מ"
AG-2024-0598,מחוז תל אביב,שפלה,מכון רדייה,332,142,0,194.8,171,7.3,כן,כן,כן,לא,מאושר,""
AG-2024-0599,מחוז תל אביב,ערבה,רפת,243,27,41,13.1,72,6.1,לא,כן,כן,לא,מאושר,""
AG-2024-0600,מחוז תל אביב,נגב,מכון רדייה,120,40,0,160.3,128.9,2.8,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
